,event_name,venue,neighborhood,start_date,start_time,end_date,end_time,all_day_event,category,event_cost,purchase_req,free,show_map_link,show_map,stage_time,event_website
130,ACME Comedy ,ACME Comedy ,Burbank/NoHo/Valley,2020-03-11,17,2020-03-13,19,False,Open Mic,,1 item min.,,True,True,5 min.,http://acmeopenmic.eventbrite.com/
131,Flappers Burbank,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-11,18,2020-03-11,19,False,Open Mic,$0,No min.,"Free mics
",True,True,2 min.,
132,The Cinema Bar,The Cinema Bar,Westside/Santa Monica,2020-03-11,18,2020-03-11,20,False,Open Mic,,1 item min.,,True,True,5 min.,
133,The Green Room,The Green Room,Orange County,2020-03-11,18,2020-03-11,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/gr
134,Brite Star Tavern,Brite Star Tavern,San Gabriel Valley,2020-03-11,19,2020-03-11,21,False,Open Mic,$0,No min.,"Free mics
",True,True,10 min.,
135,Equal Parts,Equal Parts,Hollywood/East Hollywood,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,3 min.,
136,ArtBarLA,ArtBarLA,Westside/Santa Monica,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,5 min.,https://slotted.co/motorboatincomedy
137,The Library: A Coffee House,The Library: A Coffee House,Long Beach,2020-03-11,19,2020-03-11,21,False,Open Mic,,1 item min.,,True,True,6 min.,
138,Relentless Brewing,Relentless Brewing,Highland Park/Glendale,2020-03-11,20,2020-03-11,22,False,Open Mic,$0,No min.,"Free mics
",True,True,6 min.,
139,1739 Public House,1739 Public House,Los Feliz/Silverlake/Echo Park,2020-03-11,20,2020-03-11,22,False,Open Mic,,1 item min.,,True,True,4 min.,
140,Challenge Mic @ Copper Still Bar,The Copper Still Bar,Koreatown/Mid-City,2020-03-11,20,2020-03-11,22,False,Improvised stand-up mic,$0,No min.,"Free mics
",True,True,,
141,The Barkley,The Barkley,Pasadena,2020-03-11,20,2020-03-11,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
142,Geeky Teas & Games,Geeky Teas & Games,Burbank/NoHo/Valley,2020-03-11,20,2020-03-11,22,False,Open Mic,$5,No min.,,True,True,5 min.,
143,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-08,20,2020-03-14,23,False,Open Mic,,1 item min.,,True,True,3 min.,
144,Second City Hollywood,Second City Hollywood,Hollywood/East Hollywood,2020-03-11,21,2020-03-11,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,bit.ly/2DFks0W
145,Close The Gap Mic,Yard Theater,Hollywood/East Hollywood,2020-03-11,22,2020-03-11,23,False,Open Mic,"Free for women/non-binary, $5 for men",No min.,"Free mics
",True,True,5 min.,
146,Berkshire House,Berkshire House,WeHo/Fairfax/Beverly Hills,2020-03-11,22,2020-03-11,23,False,Open Mic,,1 item min.,,True,True,4 min.,
147,Improv Jam ,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-03-11,22,2020-03-11,23,False,Improv Jam,$0,No min.,"Free mics
",True,True,,
148,Fox Coffee House,Fox Coffee House,Long Beach,2020-03-12,18,2020-03-12,20,False,Mixed Mic,$0,No min.,"Free mics
",True,True,,
149,Oh Yes It's Ladies' Mic @ Flappers Burbank,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-12,18,2020-03-12,20,False,Open Mic,,1 item min.,,True,True,3 min.,
150,The Rec Room,The Rec Room,Orange County,2020-03-12,18,2020-03-12,20,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
151,Atomic Wombat Comics,Atomic Wombat Comics,Orange County,2020-03-07,19,2020-03-13,21,False,Open Mic,$2,No min.,,True,True,5 min.,https://comedygrabbag.com/
152,Our Place Bar,Our Place Bar,San Gabriel Valley,2020-03-12,20,2020-03-12,22,False,Open Mic,$0,No min.,"Free mics
",True,True,6 min.,
153,Corbin Bowl,Corbin Bowl,Burbank/NoHo/Valley,2020-03-12,20,2020-03-12,23,False,Open Mic,,1 item min.,,True,True,7 min.,
154,The Chatterbox,The Chatterbox,San Gabriel Valley,2020-03-12,20,2020-03-12,22,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
155,Burbank VFW,Burbank VFW,Burbank/NoHo/Valley,2020-03-12,20,2020-03-12,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
156,Umami Burger,Umami Burger,Orange County,2020-03-12,20,2020-03-12,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
157,Yard Theater,Yard Theater,Hollywood/East Hollywood,2020-03-12,22,2020-03-12,23,False,Open Mic,$5,No min.,,True,True,5 min.,
158,Westside Comedy Theater,Westside Comedy Theater,Westside/Santa Monica,2020-03-12,22,2020-03-12,0,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
159,(5PM-8PM Hourly) PFW Studio,PFW Studio,WeHo/Fairfax/Beverly Hills,2020-03-13,17,2020-03-13,20,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/PFWStudioWeHo
160,Hollywood Hotel,Hollywood Hotel,Hollywood/East Hollywood,2020-03-13,19,2020-03-13,20,False,Open Mic,,1 item min.,,True,True,4 min.,
161,(8-10PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-13,20,2020-03-13,22,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
162,The Green Room,The Green Room,Orange County,2020-03-13,20,2020-03-13,22,False,Open Mic,$5,No min.,,True,True,5 min.,
163,Mother Knows Best @ Hollywood Hotel,Hollywood Hotel,Hollywood/East Hollywood,2020-03-13,20,2020-03-13,21,False,Open Mic,,1 item min.,,True,True,3 min.,
164,Hollywood Hotel,Hollywood Hotel,Hollywood/East Hollywood,2020-03-13,21,2020-03-13,22,False,Open Mic,,1 item min.,,True,True,4 min.,
165,The Ark Theatre,The Ark Theatre,Burbank/NoHo/Valley,2020-03-13,22,2020-03-13,23,False,Open Mic,$10,No min.,,True,True,10 min.,https://www.arknoho.org/store/10-x-10-minutes-10pm-x-10-comedians-my-laughers-comedy-club-open-mic-fridays9pm
166,Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-13,22,2020-03-13,23,False,Open Mic,$0,No min.,"Free mics
",True,True,6 min.,
167,Flappers Bar,Flappers Comedy Club,Burbank/NoHo/Valley,2020-03-08,22,2020-03-14,1,False,Open Mic,,1 item min.,,True,True,3 min.,
168,(1PM-12AM Hourly) 15 Mins. The Hollywood Comedy,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-14,13,2020-03-14,23,False,Open Mic,$12,No min.,,True,True,15 min.,https://slotted.co/thehollywoodcomedy
169,Echoes on Pico,Echoes on Pico,Koreatown/Mid-City,2020-03-14,20,2020-03-14,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/oxo0opzu/
170,(8PM-10PM Hourly) 10 Min Spots Bert's Back Room Lounge,Bert's Back Room Lounge,WeHo/Fairfax/Beverly Hills,2020-03-14,20,2020-03-14,22,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/bertsbackroom
171,(11AM-12PM Hourly) Improv Mic @ Fourth Wall Comedy Cafe,Fourth Wall Comedy Cafe,Hollywood/East Hollywood,2020-03-15,11,2020-03-21,13,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fwcafe
172,(12PM-1PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,12,2020-03-21,14,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
173,(1-2PM Hourly) Fourth Wall Comedy Cafe,Fourth Wall Comedy Cafe,Hollywood/East Hollywood,2020-03-15,13,2020-03-21,14,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fwcafe
174,(2PM-5PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-15,14,2020-03-15,18,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/therapeuticnoise
175,Improv Mic @ Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,14,2020-03-21,15,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
176,(3-4PM Hourly) Ladies Only @ Fourth Wall Comedy Cafe,Fourth Wall Comedy Cafe,Hollywood/East Hollywood,2020-03-15,15,2020-03-15,16,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fwcafe
177,(3PM-6PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,15,2020-03-21,19,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
178,15 Mins. Spots NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,15,2020-03-15,16,False,Open Mic,$12,No min.,,True,True,15 min.,https://slotted.co/fourthwall
179,Improv Mic @ NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,15,2020-03-21,15,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/hollywoodfourthwall
180,Improv Mic @ Koreatown Fourth Wall,Koreatown Fourth Wall,Koreatown/Mid-City,2020-03-15,16,2020-03-21,16,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/hollywoodfourthwall
181,Improv Mic @ NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,16,2020-03-21,16,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fourthwall
182,The Open Mic Spot,The Open Mic Spot,South LA,2020-03-15,16,2020-03-21,18,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/openmicspot
183,(5PM-10PM Hourly) Koreatown Fourth Wall,Koreatown Fourth Wall,Koreatown/Mid-City,2020-03-15,17,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/hollywoodfourthwall
184,(5PM-10PM Hourly) NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,17,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fourthwall
185,The Arsenal,The Arsenal,Westside/Santa Monica,2020-03-15,17,2020-03-15,19,False,Open Mic,,1 item min.,,True,True,7 min.,
186,HaHa Cafe (Patio),HaHa Cafe,Burbank/NoHo/Valley,2020-03-15,18,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,
187,Chapter One,Chapter One,Orange County,2020-03-15,18,2020-03-15,23,False,Open Mic,$0,No min.,"Free mics
",True,True,4 min.,
188,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-03-15,18,2020-03-20,22,False,Open Mic,$5,No min.,,True,True,5 min.,
189,Improv Mic @ Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,19,2020-03-21,20,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
190,The Moth ,LACMA,Koreatown/Mid-City,2020-03-15,19,2020-03-15,21,False,Storytelling Mic,$15,No min.,,True,True,5 min.,
191,Down and Out,Down and Out,DTLA,2020-03-15,20,2020-03-15,22,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
192,(8-11PM Hourly) Fourth Wall Comedy Cafe,Fourth Wall Comedy Cafe,Hollywood/East Hollywood,2020-03-15,20,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fwcafe
193,(8PM-10PM Hourly) 10 Min Spots Koreatown Fourth Wall 2nd Stage,Koreatown Fourth Wall,Koreatown/Mid-City,2020-03-15,20,2020-03-21,23,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/hollywoodfourthwall
194,(8PM-10PM Hourly) 10 Min Spots NoHo Fourth Wall 2nd Stage,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,20,2020-03-21,23,False,Open Mic,$8,No min.,,True,True,10 min.,https://slotted.co/fourthwall
195,(8PM-11PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,20,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/fbmic
196,The Springbok,The Springbok,Burbank/NoHo/Valley,2020-03-15,23,2020-03-16,1,False,Open Mic,,1 item min.,,True,True,,
197,(4-9PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-16,16,2020-03-17,22,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
198,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,16,2020-03-21,17,False,Open Mic,,1 item min.,,True,True,3 min.,
199,Anchor Bar,Anchor Bar,Orange County,2020-03-16,18,2020-03-16,23,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
200,The Open Mic Spot,The Open Mic Spot,South LA,2020-03-15,19,2020-03-21,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/openmicspot
201,Echoes on Pico,Echoes on Pico,Koreatown/Mid-City,2020-03-16,20,2020-03-20,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/oxo0opzu/
202,Rocco's Tavern,Rocco's Tavern,Westside/Santa Monica,2020-03-16,21,2020-03-16,23,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/roccosrocks
203,The Truth Hollywood,The Truth Hollywood,Hollywood/East Hollywood,2020-03-16,22,2020-03-16,23,False,Open Mic,$10,No min.,,True,True,15 min.,
204,The North End,The North End,Hollywood/East Hollywood,2020-03-16,22,2020-03-17,0,False,Open Mic,,1 item min.,,True,True,5 min.,
205,Tchotchke Mic,Tchotchke Mic (Storefront in Thai Town),Hollywood/East Hollywood,2020-03-17,14,2020-03-19,16,False,Open Mic,,1 item min.,,True,True,7 min.,
206,HaHa Cafe,HaHa Cafe,Burbank/NoHo/Valley,2020-03-15,18,2020-03-20,20,False,Open Mic,$5,No min.,,True,True,5 min.,
207,Hollywood Laugh Factory,Hollywood Laugh Factory,Hollywood/East Hollywood,2020-03-17,18,2020-03-17,19,False,Open Mic,$2,No min.,,True,True,2 min.,
208,Improv Mic @ Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,19,2020-03-21,20,False,Open Mic,$5,No min.,,True,True,5 min.,
209,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,19,2020-03-21,23,False,Open Mic,,1 item min.,,True,True,5 min.,
210,Delicious Pizza,Delicious Pizza,Hollywood/East Hollywood,2020-03-17,20,2020-03-17,22,False,Open Mic,,1 item min.,,True,True,5 min.,
211,Beetle House LA,Beetle House LA,Hollywood/East Hollywood,2020-03-17,20,2020-03-17,22,False,Open Mic,,1 item min.,,True,True,4 min.,
212,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,19,2020-03-21,23,False,Open Mic,,1 item min.,,True,True,3 min.,
213,(4-6PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-18,16,2020-03-19,19,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
214,(5PM-10PM Hourly) NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-15,17,2020-03-21,23,False,Open Mic,$5,No min.,,True,True,5 min.,
215,Oeno Vino,Oeno Vino,Los Feliz/Silverlake/Echo Park,2020-03-18,17,2020-03-18,19,False,Open Mic,,1 item min.,,True,True,5 min.,https://slotted.co/stellarcellar
216,Meea's Hot Dogs,Meea's Hot Dogs,Highland Park/Glendale,2020-03-18,18,2020-03-18,20,False,Open Mic,$0,No min.,,True,True,5 min.,
217,The Open Mic Spot,The Open Mic Spot,South LA,2020-03-15,18,2020-03-21,22,False,Open Mic,$5,No min.,,True,True,5 min.,https://slotted.co/openmicspot
218,Improv Mic,The Hollywood Comedy,Hollywood/East Hollywood,2020-03-18,19,2020-03-19,20,False,Improvised stand-up mic,$5,No min.,,True,True,5 min.,https://slotted.co/thehollywoodcomedy
219,Ice House,Ice House,Pasadena,2020-03-18,19,2020-03-18,22,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
220,Wren Theater,Wren Theater,Hollywood/East Hollywood,2020-03-18,20,2020-03-18,22,False,Open Mic,$5,No min.,,True,True,5 min.,
221,Adam Barnhardt's Clown House,Adam Barnhardt's Clown House,DTLA,2020-03-18,20,2020-03-18,22,False,Open Mic,$5,No min.,,True,True,7 min.,
222,Bruddah's,Bruddah's,South Bay,2020-03-18,20,2020-03-18,22,False,Open Mic,$0,No min.,"Free mics
",True,True,,
223,Shuttle Inn,Shuttle Inn,San Gabriel Valley,2020-03-18,21,2020-03-18,23,False,Open Mic,,1 item min.,,True,True,5 min.,
224,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,19,2020-03-21,23,False,Open Mic,,1 item min.,,True,True,4 min.,
225,The Lexington,The Lexington,DTLA,2020-03-19,18,2020-03-19,20,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
226,MeowMeowz,MeowMeowz,Pasadena,2020-03-19,19,2020-03-19,21,False,Open Mic,$5,No min.,,True,True,7 min.,
227,LA School of Comedy,LA School of Comedy,Westside/Santa Monica,2020-03-19,19,2020-03-19,21,False,Open Mic,$5,No min.,,True,True,6 min.,
228,Hyperion Tavern,Hyperion Tavern,Los Feliz/Silverlake/Echo Park,2020-03-19,19,2020-03-19,21,False,Open Mic,$0,No min.,"Free mics
",True,True,3 min.,
229,1172 Art Lounge,1172 Art Lounge,Los Feliz/Silverlake/Echo Park,2020-03-19,19,2020-03-19,21,False,Open Mic,$4,No min.,,True,True,5 min.,
230,The Fanatic Salon,The Fanatic Salon,Westside/Santa Monica,2020-03-19,19,2020-03-20,21,False,Open Mic,$5,No min.,,True,True,5 min.,
231,1739 Public House,1739 Public House,Los Feliz/Silverlake/Echo Park,2020-03-19,20,2020-03-19,22,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
232,Skiptown Playhouse,Skiptown Playhouse,Hollywood/East Hollywood,2020-03-19,21,2020-03-19,23,False,Open Mic,$5,No min.,,True,True,6 min.,
233,Tchotchke Mic ,Tchotchke Mic (Storefront in Thai Town),Hollywood/East Hollywood,2020-03-20,14,2020-03-20,16,False,Open Mic,,1 item min.,,True,True,7 min.,
234,(4-10PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-20,16,2020-03-20,23,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
235,The Clubhouse,The Clubhouse,Los Feliz/Silverlake/Echo Park,2020-03-20,17,2020-03-20,19,False,Open Mic,$0,No min.,"Free mics
",True,True,"3 min, 5 min",
236,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,18,2020-03-21,20,False,Open Mic,,1 item min.,,True,True,3 min.,
237,Garage behind Food 4 Less,Garage behind Food 4 Less,Koreatown/Mid-City,2020-03-20,19,2020-03-21,2,False,Open Mic,$2,No min.,,True,True,6 min.,
238,Mingles Tea Bar,Mingles Tea Bar,South LA,2020-03-20,19,2020-03-20,21,False,Open Mic,$5,No min.,,True,True,6 min.,
239,Adam Barnhardt's Clown House,Adam Barnhardt's Clown House,DTLA,2020-03-20,20,2020-03-20,22,False,Open Mic,$5,No min.,,True,True,10 min.,
240,The Ruby LA,The Ruby LA,DTLA,2020-03-20,20,2020-03-20,21,False,Open Mic,$0,No min.,Free mics,True,True,5 min.,https://therubyla.com/events/the-ruby-la-open-mic-2020-03-20/
241,The Fanatic Salon,The Fanatic Salon,Westside/Santa Monica,2020-03-19,22,2020-03-20,23,False,Open Mic,$5,No min.,,True,True,5 min.,
242,15 Mins. Spots NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-21,13,2020-03-21,14,False,Open Mic,$12,No min.,,True,True,15 min.,https://slotted.co/fourthwall
243,The Melody Bar & Grill,The Melody Bar & Grill,South LA,2020-03-21,14,2020-03-21,17,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
244,(3PM-6PM Hourly) Flashback Mic (in Melrose),Flashback Mic (on Melrose),WeHo/Fairfax/Beverly Hills,2020-03-15,15,2020-03-21,19,False,Open Mic,$5,No min.,,True,True,5 min.,
245,15 Mins. Spots NoHo Fourth Wall,NoHo Fourth Wall,Burbank/NoHo/Valley,2020-03-21,15,2020-03-21,16,False,Open Mic,$12,No min.,,True,True,15 min.,https://slotted.co/fourthwall
246,(4-6PM Hourly) Therapeutic Noise (in Long Beach),Therapeutic Noise,Long Beach,2020-03-21,16,2020-03-21,19,False,Open Mic,$5,No min.,,True,True,6 min.,https://slotted.co/therapeuticnoise
247,Oeno Vino,Oeno Vino,Los Feliz/Silverlake/Echo Park,2020-03-21,16,2020-03-21,18,False,Open Mic,,1 item min.,,True,True,3 min.,
248,The Open Mic Spot,The Open Mic Spot,South LA,2020-03-15,18,2020-03-21,20,False,Open Mic,$5,No min.,,True,True,5 min.,https://openmicspot.com/open-mic/
249,Innovation Brew Works,Innovation Brew Works,San Gabriel Valley,2020-03-21,18,2020-03-21,21,False,Open Mic,$0,No min.,Free mics,True,True,20 min.,
250,Sycamore Tavern,Sycamore Tavern,Hollywood/East Hollywood,2020-03-16,19,2020-03-21,21,False,Open Mic,,1 item min.,,True,True,5 min.,
251,Wren Theater,Wren Theater,Hollywood/East Hollywood,2020-03-21,20,2020-03-21,22,False,Open Mic,$5,No min.,,True,True,5 min.,
252,Garage behind Food 4 Less,Garage behind Food 4 Less,Koreatown/Mid-City,2020-03-20,19,2020-03-21,2,False,Open Mic,$0,No min.,,True,True,6 min.,
253,Friends & Family,Friends & Family,Hollywood/East Hollywood,2020-03-22,15,2020-03-22,16,False,Open Mic,"
",1 item min.,,True,True,4 min.,
254,Three Clubs,Three Clubs,Hollywood/East Hollywood,2020-03-27,23,2020-03-28,2,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
255,Shanghai'd,Shanghai'd,Orange County,2020-03-31,20,2020-03-31,22,False,Open Mic,$0,1 drink min.,,True,True,5 min.,
256,Lyric Hyperion Theatre & Cafe,Lyric Hyperion Theatre & Cafe,Los Feliz/Silverlake/Echo Park,2020-04-01,16,2020-04-01,18,False,Open Mic,,1 item min.,,True,True,4 min.,
257,Studio City Library,Studio CIty Library,Burbank/NoHo/Valley,2020-04-02,18,2020-04-02,19,False,Open Mic,$0,No min.,Free mics,True,True,5 min.,
258,Edendale Branch Library,Edendale Branch Library,Los Feliz/Silverlake/Echo Park,2020-04-02,18,2020-04-02,20,False,Open Mic,$0,No min.,"Free mics
",True,True,5 min.,
259,Improv Jam ,UCB Sunset Inner Sanctum,Hollywood/East Hollywood,2020-04-03,18,2020-04-03,19,False,Open Mic,$0,No min.,"Free mics
",True,True,,
260,Lyric Hyperion Theatre & Cafe,Lyric Hyperion Theatre & Cafe,Los Feliz/Silverlake/Echo Park,2020-04-04,16,2020-04-04,18,False,Open Mic,,1 item min.,,True,True,4 min.,
261,Character Spa,Lyric Hyperion Theatre & Cafe,Los Feliz/Silverlake/Echo Park,2020-04-06,16,2020-04-06,18,False,Character Mic,$0,No min.,"Free mics
",True,True,7 min.,https://slotted.co/characterspa
262,Hollywood Hotel,Hollywood Hotel,Hollywood/East Hollywood,2020-04-07,20,2020-04-07,22,False,Open Mic,,1 item min.,,True,True,4 min.,
